================================================================================
EVENTS FROM 53800ms to 55500ms (profile data window)
================================================================================
       53802ms    pushstr | __metatable
       53802ms    pushstr | table
       53803ms    pushstr | __metatable
       53803ms    pushstr | nil
       53803ms    pushstr | function
       53803ms     tolstr | BottomPart/FunctionArea/PlayerInfoFunction5/btn_Function
       53803ms    pushstr | __metatable
       53803ms    pushstr | nil
       53804ms    pushstr | nil
       53804ms    pushstr | table
       53804ms    pushstr | __metatable
       53804ms    pushstr | nil
       53804ms    pushstr | nil
       53806ms    pushstr | table
       53806ms    pushstr | __metatable
       53806ms    pushstr | function
       53806ms    pushstr | __fullname
       53806ms    pushstr | __type
       53806ms    pushint | 0
       53806ms    pushint | 1
       53807ms    pushstr | __metatable
       53807ms    pushstr | function
       53807ms   getfield | eng.table
       53807ms    pushstr | Button
       53807ms   getfield | eng.table
       53807ms    pushstr | Button
       53807ms    pushstr | __metatable
       53807ms    pushstr | table
       53807ms    pushstr | __metatable
       53807ms    pushstr | nil
       53807ms    pushstr | function
       53808ms    pushstr | __LuaDelegate
       53808ms        gfn | eng.table:87456
       53808ms  tointeger | 1
       53808ms    pushint | 2
       53808ms    pushstr | __metatable
       53808ms    pushstr | table
       53808ms    pushstr | __metatable
       53808ms    pushstr | nil
       53808ms    pushstr | function
       53808ms     tolstr | BottomPart/FunctionArea/PlayerInfoFunction3/txt_FunctionName
       53809ms    pushstr | __metatable
       53809ms    pushstr | nil
       53809ms    pushstr | nil
       53809ms    pushstr | table
       53810ms    pushstr | __metatable
       53810ms    pushstr | nil
       53810ms    pushstr | nil
       53810ms    pushstr | table
       53810ms    pushstr | __metatable
       53810ms    pushstr | function
       53810ms    pushstr | __fullname
       53810ms    pushstr | __type
       53811ms    pushstr | __metatable
       53811ms    pushstr | function
       53811ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_ALLIANCE
       53811ms     tolstr | LC_COMMON_ALLIANCE
       53811ms    pushstr | __metatable
       53811ms    pushstr | function
       53811ms     tolstr | Alianþa
       53812ms    pushstr | Alianþa
       53812ms    pushstr | __metatable
       53812ms     tolstr | Alianþa
       53813ms    pushstr | __metatable
       53813ms    pushstr | table
       53814ms    pushstr | __metatable
       53814ms    pushstr | nil
       53814ms    pushstr | function
       53814ms     tolstr | TopPart/Myself_New/TxtDetail/txt_Tittle6
       53814ms    pushstr | __metatable
       53814ms    pushstr | nil
       53814ms    pushstr | nil
       53814ms    pushstr | table
       53815ms    pushstr | __metatable
       53818ms    pushstr | nil
       53818ms    pushstr | nil
       53818ms    pushstr | table
       53819ms    pushstr | __metatable
       53819ms    pushstr | function
       53819ms    pushstr | __fullname
       53819ms    pushstr | __type
       53819ms    pushstr | __metatable
       53819ms    pushstr | function
       53820ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_CURRENT_CONTRIBUTION
       53820ms     tolstr | LC_COMMON_CURRENT_CONTRIBUTION
       53820ms    pushstr | __metatable
       53820ms    pushstr | function
       53820ms     tolstr | Pontos de MÚrito
       53821ms    pushstr | Pontos de MÚrito
       53821ms    pushstr | __metatable
       53821ms     tolstr | Pontos de MÚrito
       53821ms    pushstr | __metatable
       53822ms    pushstr | table
       53823ms    pushstr | __metatable
       53823ms    pushstr | nil
       53823ms    pushstr | function
       53823ms     tolstr | BottomPart/FunctionArea/PlayerInfoFunction3/btn_Function
       53824ms    pushstr | __metatable
       53824ms    pushstr | nil
       53824ms    pushstr | nil
       53824ms    pushstr | table
       53824ms    pushstr | __metatable
       53824ms    pushstr | nil
       53824ms    pushstr | nil
       53824ms    pushstr | table
       53824ms    pushstr | __metatable
       53824ms    pushstr | function
       53824ms    pushstr | __fullname
       53824ms    pushstr | __type
       53824ms    pushint | 0
       53825ms    pushint | 1
       53825ms    pushstr | __metatable
       53825ms    pushstr | function
       53825ms   getfield | eng.table
       53825ms    pushstr | Button
       53825ms   getfield | eng.table
       53825ms    pushstr | Button
       53825ms    pushstr | __metatable
       53825ms    pushstr | table
       53825ms    pushstr | __metatable
       53826ms    pushstr | nil
       53826ms    pushstr | function
       53826ms    pushstr | __LuaDelegate
       53826ms        gfn | eng.table:80809
       53826ms  tointeger | 1
       53826ms    pushint | 2
       53826ms    pushstr | __metatable
       53826ms    pushstr | table
       53826ms    pushstr | __metatable
       53826ms    pushstr | nil
       53826ms    pushstr | function
       53826ms     tolstr | TopPart/Others_New/TxtDetail/txt_Tittle1
       53827ms    pushstr | __metatable
       53827ms    pushstr | nil
       53827ms    pushstr | nil
       53827ms    pushstr | table
       53827ms    pushstr | __metatable
       53827ms    pushstr | nil
       53827ms    pushstr | nil
       53827ms    pushstr | table
       53827ms    pushstr | __metatable
       53827ms    pushstr | function
       53827ms    pushstr | __fullname
       53827ms    pushstr | __type
       53827ms    pushstr | __metatable
       53827ms    pushstr | function
       53827ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_GOVERNOR
       53827ms     tolstr | LC_COMMON_GOVERNOR
       53827ms    pushstr | __metatable
       53827ms     tolstr | Governador
       53827ms    pushstr | __metatable
       53827ms    pushstr | table
       53827ms    pushstr | __metatable
       53827ms    pushstr | nil
       53827ms    pushstr | function
       53827ms     tolstr | Medal_New/Medal1/Type2/img_Medal_SVIP
       53828ms    pushstr | __metatable
       53828ms    pushstr | nil
       53828ms    pushstr | nil
       53828ms    pushstr | table
       53828ms    pushstr | __metatable
       53828ms    pushstr | nil
       53828ms    pushstr | nil
       53828ms    pushstr | table
       53828ms    pushstr | __metatable
       53828ms    pushstr | function
       53828ms    pushstr | __fullname
       53828ms    pushstr | __type
       53828ms    pushint | 0
       53828ms    pushint | 1
       53828ms    pushstr | __metatable
       53828ms    pushstr | function
       53828ms   getfield | eng.table
       53828ms    pushstr | Button
       53828ms   getfield | eng.table
       53828ms    pushstr | Button
       53828ms    pushstr | __metatable
       53828ms    pushstr | table
       53829ms    pushstr | __metatable
       53829ms    pushstr | nil
       53829ms    pushstr | function
       53829ms    pushstr | __LuaDelegate
       53829ms        gfn | eng.table:84701
       53829ms  tointeger | 1
       53829ms    pushint | 2
       53829ms    pushstr | __metatable
